base_address,rewards
0xb8aF4bF8fbF79d31B5679a690440b093E51060f8,121786000000000000000000
0x245c31F9cADCb9F4a0907Ab6d90D1dD1D063fa97,99401000000000000000000
0xEa60aE5328f5C9250b0ECb9150eB1dBAe746f409,62056000000000000000000
0x404d42C64479eF23C935B94c4815c9Bb8822bb98,60535000000000000000000
0xbd96161578a6e92a3A606dD7c133A1E8cE390E6e,36007000000000000000000
0x77BFeCac1D1Eb046D8a75C1D4cdABe267180646c,25357000000000000000000
0x894D15D48d67dc0233B81994F5434684BBCb0f09,21669000000000000000000
0x4Ce3902b19d4eeb55CF1875308437787D3a20370,21392000000000000000000
0x1bF6c014961b977302d713b525050715a4E37b04,14938000000000000000000
0xE96A0CFaecFBFE2572351615118023d70ebD1aD3,13739000000000000000000
0xC572Cf22F09FB42959fAdA14a2E2B29742DFF021,12679000000000000000000
0x25b75A6E15aC0407D5FDeF3c13287F5bb03EF36c,11664000000000000000000
0x20E9f37ce41D65f019D06Eb9C44e7fC14FECB684,11065000000000000000000
0x7d08c5c4aBfA09CCD06889B7B2EE6a64065e63AA,9959000000000000000000
0x926a2827fd248148bE07DF8Ab096FC18f56D12C3,9590000000000000000000
0xCe21Ba614fF85d274d190b0873f73Ff542854ad4,8714000000000000000000
0x0761F74d46D2be4dfF345EF4007Ba785Ab4F855f,8529000000000000000000
0x18632E6E1f347f7316967568f9E3D476fF6FC48d,7607000000000000000000
0x5F7b2AEc052AA1541d446D86c62e773AB5A43Fa1,7192000000000000000000
0x0613BD6d359f576917c6cC732F835536Ec18F521,5947000000000000000000
0x4ea0c6de1b4504952f40AB6268dce5696D3c3652,5947000000000000000000
0x0EdfcF9bB8B59B07E53b9B1C4d92351E8D922AB8,5440000000000000000000
0x995B9821CA51AD74cB2E62f152c961c2e2D83D23,9571000000000000000000
0x024F05d3A5e1C84b8029DDeAE4d36bDDe08c6F4C,5025000000000000000000
0xaCd4e90cA5107c23a2add9a297198C118082EAA5,4933000000000000000000
0xadAF616998E497401664F0C8935DD0Ec16b55Be4,4426000000000000000000
0xf5ee0A5513cFCEdD1d2e7968786b16E8528FD957,4103000000000000000000
0xE2694D516f5a84B0635017443e1ADbbC1DAA0A66,3965000000000000000000
0xc12fe20D1816423128451458c9A65e1e81135572,3781000000000000000000
0x38f671bd5aE6Da82dBe1BBbC362baFEb31dcb125,4887000000000000000000
0x92B9Ea4B42763d0933EAE9782FF119e506afF1aB,2858000000000000000000
0xB1f7996edd0E42c2aE788BD6Dc32BEb302b6e850,2812000000000000000000
0x1f3aec41AEF4B3cEC3cc6861088b73a38C314Ec9,2720000000000000000000
0x0C4E3B617a206EA37fb3fCE302e332F230E1E2c0,2674000000000000000000
0x9b8581114fE5A51f397021cEda504f2FffAdE968,152674000000000000000000
0x10C3a9115622EeA61E3F0e696AB89A6EaD82b7cb,2628000000000000000000
0xC55129B1d0B5471194d8fa77f1d91f1e64FFE7Ee,2582000000000000000000
0x983365104552EcBCdd5208C504cceedFcD05c4d5,2536000000000000000000
0x5703Add9F4c5862f44c2FDFec0F535339e1d97A7,2490000000000000000000
0x247FFb08FCAb2800278F4B14F470EF83150b76B6,2444000000000000000000
0xd3C19DB7828D794d9C52E7B60C97C0085C352664,2305000000000000000000
0xA37289F2AEAdE735Ca70f08661Fee03c87aDB0b2,2259000000000000000000
0xDE42A0762c2A72E7A1Ae34616d1BB9953490A2A4,2213000000000000000000
0xFa80e7C2829E4725B194332b25288706d4CFA22a,2213000000000000000000
0x18C75Fe3755D9335D3454Ec23c380b0F21F13Db4,2167000000000000000000
0xD2e824A035D9FC5d6b9B6E55d60dea6A75eC3265,2167000000000000000000
0xd5e560e917Ce2F6df6Af52A733045bE43714FC96,2121000000000000000000
0x9825b07fC87d46FEF30016114a0583F71b2E6bfa,2121000000000000000000
0x09Ed5976BB1Ae67E2E39f508d883ef10EdeeEeE4,1982000000000000000000
0x1C400a258a44Ad8cefb7CF264118231CC7eA252b,1936000000000000000000
0x5000fB98fA3DB339634f98e7c883047e30414e57,1936000000000000000000
0xCef92EaFbAd8294c5eF436E2f53DdF77C998Da6E,1890000000000000000000
0xC3d08f7ce4dC9993cCa27858107b03c3904b64a6,1890000000000000000000
0x5f81C5ef526F4D48d5B10737273cDb8Aa4DC0C10,1844000000000000000000
0xC34653De28230eba02Ccdf6fb4b7DD5694621f16,1844000000000000000000
0xF67d5f429198F6720cdBbe0dc09D54767B252dC5,1798000000000000000000
0x5Bc2d971664c7f2A5623F3062189e5D8a7d9d77C,1798000000000000000000
0x993e6cF46F9CaB0D4BE42A122ED49166f5359e67,1798000000000000000000
0x5202129653C415963c9F03FeF6866F3C833dFa4B,1752000000000000000000
0xbDE3578e395e2D37b0f309eC424C09e9d0E73A47,1706000000000000000000
0x6A164c14bcC4fd458e4b5D2D509e1506A5c21cD7,1706000000000000000000
0x224a5ba2c04b66E97743d5Bea1D6dA6Bee8B6a8A,1706000000000000000000
0x09EF7Ac910d8c2b70EEC8B8e9198232B71594Dc6,1660000000000000000000
0x002344F3C01b32771936403d2E531c1B4018ECc6,1660000000000000000000
0x1E59078C552206473E2FE13DAA3bf7699A609F93,1614000000000000000000
0xA54547086a0c080c0a3077882F0D9E1979861376,1614000000000000000000
0xb711F3BB0ebeb109f36f8cE27F7758723dA0587b,1568000000000000000000
